GHE	Riscos / Agentes Padrão deste Setor (GHE)	Medidas Adm. / Coletivas Padrão	EPIs Padrão do Setor	EPCs Padrão do Setor	Caracterização de Periculosidade Padrão	Caracterização de Insalubridade Padrão
SUPERVISÃO OPERACIONAL	"Acidentes: Trabalho em altura acima de 2 metros; Choque elétrico; Transporte motorizado; Queda de mesmo nível; Queda com diferença de nível até 2 metros; Batida contra; Impacto de objetos; Cortes e perfurações; Ataque de animais; Contato com animais peçonhentos

Físicos: Radiação não ionizante; Ruído

Ergonômicos: Postura sentada por longos períodos; Reflexos em telas e monitores; Levantamento e transporte manual de cargas

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar
"	APR Digital; IT-SST-02 – Identificação de Cordoalha Energizada; IT-SST-03 – Relato de Perigo; IT-SST-07 – Trabalhos em Altura; IT-SST-08 – Trabalhos em Proximidades com a Rede Elétrica; IT-SST-15 – Trabalhos com Máquinas e Equipamentos; IT-SST-38 – Realização de Trabalhos em Travessia.	Capacete de segurança com aba frontal; Óculos de proteção visual incolor; Luva mista de vaqueta cano curto; Luva de isolamento elétrica classe 0 tipo II até 1000 V; Sobreluva mista de vaqueta cano longo; Cinto tipo paraquedista com talabarte de posicionamento; Botina com biqueira de composite; Capa de chuva; Perneira; Protetor solar com repelente.	Correia de segurança para escada; Garra meio de vão; Linha de vida móvel; Nivelador de escada; Chave detectora de tensão; Fita zebrada; Cones de sinalização; Telemetria veicular.	Caracteriza conforme NR 16	Não caracteriza conforme NR 15
ASSISTENCIA TÉCNICA	"Acidentes: Trabalho em altura acima de 2 metros; Choque elétrico; Transporte motorizado; Queda de mesmo nível; Queda com diferença de nível até 2 metros; Batida contra; Impacto de objetos; Cortes e perfurações; Ataque de animais; Contato com animais peçonhentos

Físicos: Radiação não ionizante

Ergonômicos: Elevação frequente de membros superiores; Flexões frequentes da coluna vertebral; Deslocamento frequente a pé durante a jornada; Levantamento e transporte manual de cargas

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	APR Digital; IT-SST-02 – Identificação de Cordoalha Energizada; IT-SST-03 – Relato de Perigo; IT-SST-07 – Trabalhos em Altura; IT-SST-08 – Trabalhos em Proximidades com a Rede Elétrica; IT-SST-15 – Trabalhos com Máquinas e Equipamentos; IT-SST-38 – Realização de Trabalhos em Travessia.	Capacete de segurança; Óculos de proteção visual incolor; Luva mista de vaqueta cano curto; Luva de isolamento elétrica classe 0 tipo II até 1000 V; Sobreluva mista de vaqueta cano longo; Cinto tipo paraquedista com talabarte de posicionamento; Botina com biqueira de composite; Capa de chuva; Perneira; Protetor solar com repelente.	Correia de segurança para escada; Garra meio de vão; Linha de vida móvel; Nivelador de escada; Chave detectora de tensão; Fita zebrada; Cones de sinalização; Telemetria veicular.	Caracteriza conforme NR 16	Não caracteriza conforme NR 15
"COORDENAÇÃO OPERACIONAL

"	"Acidentes: Transporte motorizado; Queda de mesmo nível; Batida contra

Físicos: Radiação não ionizante

Psicossociais: Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	APR Digital; IT-SST-03 – Relato de Perigo.	Botina com biqueira de composite; Capacete de segurança; Protetor solar com repelente.	Telemetria veicular	Não caracteriza conforme NR 16	Não caracteriza conforme NR 15
SUPERVISÃO REDE	"Acidentes: Trabalho em altura acima de 2 metros; Choque elétrico; Trabalho em espaço confinado; Transporte motorizado; Queda com diferença de nível até 2 metros; Queda de mesmo nível; Batida contra; Impacto de objetos; Cortes e perfurações; Ataque de animais; Contato com animais peçonhentos

Físicos: Radiação não ionizante

Ergonômicos: Postura sentada por longos períodos; Reflexos em telas e monitores; Levantamento e transporte manual de cargas

Psicossociais: Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar
"	APR Digital; IT-SST-02 – Identificação de Cordoalha Energizada; IT-SST-03 – Relato de Perigo; IT-SST-07 – Trabalhos em Altura; IT-SST-08 – Trabalhos em Proximidades com a Rede Elétrica; IT-SST-12 – Realização de Trabalhos em Espaço Confinado; IT-SST-13 – Plano de Resgate para Trabalho em Espaço Confinado; IT-SST-15 – Trabalhos com Máquinas e Equipamentos; IT-SST-38 – Realização de Trabalhos em Travessia.	Capacete de segurança; Óculos de proteção visual incolor; Luva mista de vaqueta cano curto; Luva de isolamento elétrica classe 0 tipo II até 1000 V; Sobreluva mista de vaqueta cano longo; Cinto tipo paraquedista com talabarte de posicionamento; Botina com biqueira de composite; Luva em PU; Respirador semifacial com filtro; Perneira; Protetor solar com repelente.	Correia de segurança para escada; Garra meio de vão; Linha de vida móvel; Nivelador de escada; Chave detectora de tensão; Fita zebrada; Detector de gás; Exaustor/insuflador de ar para espaço confinado; Grade de sinalização; Sinalizador luminoso; Sistema de resgate com tripé; Telemetria veicular.	Caracteriza conforme NR 16	Não caracteriza conforme NR 15
REDE / CABISTA	"Acidentes: Trabalho em altura acima de 2 metros; Choque elétrico; Trabalho em espaço confinado; Transporte motorizado; Queda com diferença de nível até 2 metros; Queda de mesmo nível; Batida contra; Impacto de objetos; Cortes e perfurações; Ataque de animais; Contato com animais peçonhentos

Físicos: Radiação não ionizante

Ergonômicos: Levantamento e transporte manual de cargas; Flexões frequentes da coluna vertebral; Trabalho em posturas incômodas por longos períodos; Elevação frequente de membros superiores

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	APR Digital; IT-SST-02 – Identificação de Cordoalha Energizada; IT-SST-03 – Relato de Perigo; IT-SST-07 – Trabalhos em Altura; IT-SST-08 – Trabalhos em Proximidades com a Rede Elétrica; IT-SST-12 – Realização de Trabalhos em Espaço Confinado; IT-SST-13 – Plano de Resgate para Trabalho em Espaço Confinado; IT-SST-15 – Trabalhos com Máquinas e Equipamentos; IT-SST-38 – Realização de Trabalhos em Travessia.	Capacete de segurança; Óculos de proteção visual incolor; Luva mista de vaqueta cano curto; Luva de isolamento elétrica classe 0 tipo II até 1000 V; Sobreluva mista de vaqueta cano longo; Cinto tipo paraquedista com talabarte de posicionamento; Botina com biqueira de composite; Luva em PU; Respirador semifacial com filtro; Perneira; Protetor solar com repelente.	Correia de segurança para escada; Garra meio de vão; Linha de vida móvel; Nivelador de escada; Chave detectora de tensão; Fita zebrada; Detector de gás; Exaustor/insuflador de ar para espaço confinado; Grade de sinalização; Sinalizador luminoso; Sistema de resgate com tripé; Telemetria veicular.	Caracteriza conforme NR 16	Não caracteriza conforme NR 15
SOLDA	"Acidentes: Transporte motorizado; Queda com diferença de nível até 2 metros; Queda de mesmo nível; Batida contra; Impacto de objetos; Cortes e perfurações; Ataque de animais; Contato com animais peçonhentos

Físicos: Radiação não ionizante; Ruído

Químicos: Chumbo e seus compostos tóxicos; Manganês e seus compostos

Ergonômicos: Flexões frequentes da coluna vertebral; Trabalho em posturas incômodas por longos períodos

Psicossociais: Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	APR Digital; IT-SST-03 – Relato de Perigo; IT-SST-15 – Trabalhos com Máquinas e Equipamentos.	Bota de PVC para proteção química; Botina com biqueira de composite; Capa de chuva; Capacete de segurança; Cinturão tipo paraquedista com talabarte de posicionamento; Colete refletivo tipo X; Luva de raspa; Luva mista de vaqueta cano curto; Luva para proteção química; Luva de isolamento elétrica classe 0 tipo II até 1000 V; Máscara de solda; Óculos de segurança; Sobreluva de raspa; Respirador semifacial com filtro; Perneira; Avental de raspa tipo barbeiro; Protetor solar com repelente; Protetor auricular de inserção.	Telemetria veicular	Não caracteriza conforme NR 16	Não caracteriza conforme NR 15
REPARO INTERNO	"Acidentes: Transporte motorizado; Queda com diferença de nível até 2 metros; Queda de mesmo nível; Batida contra; Impacto de objetos; Cortes e perfurações; Ataque de animais; Contato com animais peçonhentos

Físicos: Radiação não ionizante

Ergonômicos: Flexões frequentes da coluna vertebral; Deslocamento frequente a pé durante a jornada; Levantamento e transporte manual de cargas; Elevação frequente de membros superiores

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	APR Digital; IT-SST-03 – Relato de Perigo; IT-SST-15 – Trabalhos com Máquinas e Equipamentos.	Capacete de segurança; Botina com biqueira de composite; Luva mista de vaqueta cano curto; Perneira; Protetor solar com repelente.	Telemetria veicular	Não caracteriza conforme NR 16	Não caracteriza conforme NR 15
OPERAÇÃO MUNCK	"Acidentes: Transporte motorizado; Queda com diferença de nível até 2 metros; Queda de mesmo nível; Batida contra; Impacto de objetos; Cortes e perfurações; Ataque de animais; Contato com animais peçonhentos; Carga suspensa

Físicos: Radiação não ionizante; Ruído; Vibração de corpo inteiro

Ergonômicos: Levantamento e transporte manual de cargas

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	APR Digital; IT-SST-03 – Relato de Perigo; IT-SST-15 – Trabalhos com Máquinas e Equipamentos.	"Capacete de segurança; Botina com biqueira de composite; Luva mista de vaqueta cano curto; Luva de proteção mista de vaqueta; Perneira; Capa de chuva; Óculos de segurança; Colete refletivo tipo X; Protetor solar com repelente; Protetor auricular tipo concha.
"	Telemetria veicular	Não caracteriza conforme NR 16	Não caracteriza conforme NR 15
OBRAS REDE	"Acidentes: Trabalho em altura acima de 2 metros; Choque elétrico; Transporte motorizado; Queda de mesmo nível; Queda com diferença de nível até 2 metros; Batida contra; Impacto de objetos; Cortes e perfurações; Ataque de animais; Contato com animais peçonhentos

Físicos: Radiação não ionizante; Ruído; Vibrações localizadas (mão-braço)

Ergonômicos: Flexões frequentes da coluna vertebral; Deslocamento frequente a pé durante a jornada; Levantamento e transporte manual de cargas; Elevação frequente de membros superiores

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	Treinamento e manutenção preventiva ; Instalação de proteções físicas e sinalizações de segurança ; Uso de pisos antiderrapantes e atenção ao caminhar ; Inspeção e utilização de ferramentas adequadas ; Controle de acesso a áreas restritas ; Controle integrado de pragas e vetores ; Planejamento de posturas e organização dos postos de trabalho ; Pausas regulares e uso de luvas antivibração ; Gestão equilibrada de escalas de trabalho e metas realistas ; Programas corporativos de feedback profissional ; Apoio psicológico e initiatives de bem-estar	Capacete de segurança; Botina com biqueira de composite; Luva mista de vaqueta cano curto; Luva de proteção mista de vaqueta; Perneira; Capa de chuva; Óculos de segurança; Colete refletivo tipo X; Protetor auricular tipo concha.	Telemetria veicular	Não caracteriza conforme NR 16	Não caracteriza conforme NR 15
LABORATÓRIO	"Acidentes: Choque elétrico; Queda de mesmo nível

Ergonômicos: Postura sentada por longos períodos

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	APR Digital; IT-SST-02 – Identificação de Cordoalha Energizada; IT-SST-03 – Relato de Perigo; IT-SST-08 – Trabalhos em Proximidades com a Rede Elétrica.	Luva de isolamento elétrica classe 0 tipo II até 1000 V; Sobreluva mista de vaqueta cano longo; Óculos de proteção visual incolor.	Chave detectora de tensão	Não caracteriza conforme NR 16	Não caracteriza conforme NR 15
MANUTENÇÃO PATRIMONIAL	"Acidentes: Queda de mesmo nível

Físicos: Radiação não ionizante

Químicos: Cloro e seus compostos tóxicos

Biológicos: Contato com agentes biológicos na coleta de lixo

Ergonômicos: Flexões frequentes da coluna vertebral

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	APR Digital	Bota de PVC para proteção química e umidade; Botina com biqueira de composite; Luva de látex; Óculos de segurança; Respirador semifacial; Avental impermeável; Protetor solar com repelente.	-	Não caracteriza conforme NR 16	Caracteriza conforme NR 15
OPERAÇÃO EMPILHADEIRA	"Acidentes: Queda de mesmo nível; Batida contra; Impacto de objetos; Cortes e perfurações; Carga suspensa

Físicos: Radiação não ionizante; Ruído; Vibração de corpo inteiro

Ergonômicos: Uso frequente de pedais; Levantamento e transporte manual de cargas

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	APR Digital; IT-SST-03 – Relato de Perigo; IT-SST-15 – Trabalhos com Máquinas e Equipamentos.	Botina com biqueira de composite; Capacete de segurança; Luva mista de vaqueta cano curto; Capa de chuva; Luva de proteção mista de vaqueta; Óculos de segurança; Colete refletivo tipo X; Protetor solar com repelente; Protetor auricular tipo concha	-	Não caracteriza conforme NR 16	Não caracteriza conforme NR 15
ALMOXARIFADO	"Acidentes: Queda de mesmo nível; Batida contra; Impacto de objetos; Cortes e perfurações

Físicos: Radiação não ionizante

Ergonômicos: Flexões frequentes da coluna vertebral; Deslocamento frequente a pé durante a jornada; Levantamento e transporte manual de cargas; Elevação frequente de membros superiores

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	APR Digital; IT-SST-03 – Relato de Perigo; IT-SST-15 – Trabalhos com Máquinas e Equipamentos.	Botina com biqueira de composite; Capacete de segurança; Luva mista de vaqueta cano curto; Óculos de proteção visual incolor; Protetor solar com repelente.	-	Não caracteriza conforme NR 16	Não caracteriza conforme NR 15
DG - DISTRIBUIÇÃO GERAL	"Acidentes: Queda de mesmo nível; Batida contra; Impacto de objetos; Cortes e perfurações; Queda com diferença de nível até 2 metros

Ergonômicos: Postura sentada por longos períodos

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	APR Digital; IT-SST-03 – Relato de Perigo.	Botina com biqueira de composite; Capacete de segurança; Luva mista de vaqueta cano curto.	-	Não caracteriza conforme NR 16	Não caracteriza conforme NR 15
OPERAÇÃO B2B	"Acidentes: Trabalho em altura acima de 2 metros; Choque elétrico; Transporte motorizado; Queda com diferença de nível até 2 metros; Queda de mesmo nível; Batida contra; Impacto de objetos; Cortes e perfurações; Ataque de animais; Contato com animais peçonhentos; Levantamento e transporte manual de cargas

Ergonômicos: Elevação frequente de membros superiores; Flexões frequentes da coluna vertebral; Deslocamento frequente a pé durante a jornada

Físicos: Radiação não ionizante

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	APR Digital; IT-SST-02 – Identificação de Cordoalha Energizada; IT-SST-03 – Relato de Perigo; IT-SST-07 – Trabalhos em Altura; IT-SST-08 – Trabalhos em Proximidades com a Rede Elétrica; IT-SST-15 – Trabalhos com Máquinas e Equipamentos; IT-SST-38 – Realização de Trabalhos em Travessia.	Capacete de segurança; Óculos de proteção visual incolor; Luva mista de vaqueta; Cinto tipo paraquedista com talabarte de posicionamento; Botina com biqueira de composite; Capa de chuva; Luva de isolamento elétrica classe 0 tipo II até 1000 V; Sobreluva mista de vaqueta cano longo; Perneira; Protetor solar com repelente.	Correia de segurança para escada; Garra meio de vão; Linha de vida móvel; Nivelador de escada; Chave detectora de tensão; Fita zebrada; Telemetria veicular.	Caracteriza conforme NR 16	Não caracteriza conforme NR 15
FROTA	"Acidentes: Queda de mesmo nível; Batida contra; Impacto de objetos; Cortes e perfurações

Físicos: Radiação não ionizante

Ergonômicos: Flexões frequentes da coluna vertebral; Deslocamento frequente a pé durante a jornada; Levantamento e transporte manual de cargas

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	APR Digital; IT-SST-03 – Relato de Perigo; IT-SST-15 – Trabalhos com Máquinas e Equipamentos.	Botina com biqueira de composite; Capacete de segurança; Luva mista de vaqueta cano curto; Protetor solar com repelente.	-	Não caracteriza conforme NR 16	Não caracteriza conforme NR 15
AMBULATÓRIO QSMS	"Acidentes: Queda de mesmo nível

Biológicos: Contato com pacientes ou materiais biológicos contaminados

Ergonômicos: Postura sentada por longos períodos

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	APR Digital; Treinamento de Ergonomia; Treinamentos Normativos.	Sapato fechado em EVA; Bota de PVC para proteção química e umidade; Luva de látex; Óculos de segurança; Respirador semifacial; Avental impermeável (jaleco).	-	Não caracteriza conforme NR 16	Caracteriza conforme NR 15
SEGURANÇA DO TRABALHO	"Acidentes: Transporte motorizado; Queda de mesmo nível; Impacto de objetos; Ataque de animais

Físicos: Radiação não ionizante

Ergonômicos: Trabalho intensivo com digitação ou entrada de dados; Postura sentada por longos períodos

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	APR Digital; Treinamento de Ergonomia; Treinamento Normativo.	Botina com biqueira de composite; Capacete de segurança; Protetor solar com repelente.	Telemetria veicular; Suporte para notebook; Filtro de proteção para tela.	Não caracteriza conforme NR 16	Não caracteriza conforme NR 15
TRANSPORTE ADMINISTRATIVO	"Acidentes: Transporte motorizado; Queda com diferença de nível até 2 metros; Queda de mesmo nível; Batida contra; Impacto de objetos; Ataque de animais

Físicos: Radiação não ionizante

Ergonômicos: Flexões frequentes da coluna vertebral; Levantamento e transporte manual de cargas

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	APR Digital; IT-SST-03 – Relato de Perigo.	Capacete de segurança; Botina com biqueira de composite; Protetor solar com repelente.	Telemetria Veicular	Não caracteriza conforme NR 16	Não caracteriza conforme NR 15
SUPERVISÃO ALMOXARIFADO	"Acidentes: Transporte motorizado; Queda de mesmo nível

Ergonômicos: Postura sentada por longos períodos

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	APR Digital; IT-SST-03 – Relato de Perigo.	Botina com biqueira de composite; Capacete de segurança; Protetor solar com repelente.	Telemetria Veicular	Não caracteriza conforme NR 16	Não caracteriza conforme NR 15
FTTA-A	"Acidentes: Transporte motorizado; Queda com diferença de nível até 2 metros; Queda de mesmo nível; Batida contra; Impacto de objetos; Cortes e perfurações; Ataque de animais; Contato com animais peçonhentos

Físicos: Radiação não ionizante

Ergonômicos: Deslocamento frequente a pé durante a jornada; Flexões frequentes da coluna vertebral; Levantamento e transporte manual de cargas; Elevação frequente de membros superiores

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	APR Digital; IT-SST-03 – Relato de Perigo; IT-SST-15 – Trabalhos com Máquinas e Equipamentos.	Capacete de segurança; Botina com biqueira de composite; Luva mista de vaqueta cano curto; Perneira; Protetor solar com repelente.	Telemetria Veicular	Não caracteriza conforme NR 16	Não caracteriza conforme NR 15
INSTALADORES DE EQUIPAMENTOS B2B	"Acidentes: Trabalho em altura acima de 2 metros; Choque elétrico; Transporte motorizado; Queda com diferença de nível até 2 metros; Queda de mesmo nível; Batida contra; Impacto de objetos; Cortes e perfurações; Ataque de animais; Contato com animais peçonhentos; Levantamento e transporte manual de cargas

Ergonômicos: Elevação frequente de membros superiores; Flexões frequentes da coluna vertebral; Deslocamento frequente a pé durante a jornada

Físicos: Radiação não ionizante

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	APR Digital; IT-SST-02 – Identificação de Cordoalha Energizada; IT-SST-03 – Relato de Perigo; IT-SST-07 – Trabalhos em Altura; IT-SST-08 – Trabalhos em Proximidades com a Rede Elétrica; IT-SST-15 – Trabalhos com Máquinas e Equipamentos; IT-SST-38 – Realização de Trabalhos em Travessia.	Capacete de segurança; Óculos de proteção visual incolor; Luva mista de vaqueta; Cinto tipo paraquedista com talabarte de posicionamento; Botina com biqueira de composite; Capa de chuva; Luva de isolamento elétrica classe 0 tipo II até 1000 V; Sobreluva mista de vaqueta cano longo; Perneira; Protetor solar com repelente.	Correia de segurança para escada; Garra meio de vão; Linha de vida móvel; Nivelador de escada; Chave detectora de tensão; Fita zebrada; Telemetria veicular.	Caracteriza conforme NR 16	Não caracteriza conforme NR 15
"GERÊNCIAS ADMINISTRATIVO

"	"Acidentes: Queda de mesmo nível

Ergonômicos: Postura sentada por longos períodos; Reflexos em telas e monitores

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	"APR Digital; Treinamento de Ergonomia; Treinamento Normativo.
"	-	-	Não caracteriza conforme NR 16	Não caracteriza conforme NR 15
"COORDENAÇÃO ADMINISTRATIVO


"	"Acidentes: Queda de mesmo nível

Ergonômicos: Postura sentada por longos períodos; Reflexos em telas e monitores

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	"APR Digital; Treinamento de Ergonomia; Treinamento Normativo.
"	-	-	Não caracteriza conforme NR 16	Não caracteriza conforme NR 15
"JURÍDICO ADMINISTRATIVO

"	"Acidentes: Queda de mesmo nível

Ergonômicos: Postura sentada por longos períodos; Reflexos em telas e monitores

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	"APR Digital; Treinamento de Ergonomia; Treinamento Normativo.
"	-	-	Não caracteriza conforme NR 16	Não caracteriza conforme NR 15
"CONSULTORES ADMINISTRATIVO
"	"Acidentes: Queda de mesmo nível

Ergonômicos: Postura sentada por longos períodos; Reflexos em telas e monitores

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	"APR Digital; Treinamento de Ergonomia; Treinamento Normativo.
"	-	-	Não caracteriza conforme NR 16	Não caracteriza conforme NR 15
ESPECIALISTAS ADMINISTRATIVO	"Acidentes: Queda de mesmo nível

Ergonômicos: Postura sentada por longos períodos; Reflexos em telas e monitores

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	"APR Digital; Treinamento de Ergonomia; Treinamento Normativo.
"	-	-	Não caracteriza conforme NR 16	Não caracteriza conforme NR 15
ANALISTAS ADMINISTRATIVO	"Acidentes: Queda de mesmo nível

Ergonômicos: Postura sentada por longos períodos; Reflexos em telas e monitores

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	"APR Digital; Treinamento de Ergonomia; Treinamento Normativo.
"	-	-	Não caracteriza conforme NR 16	Não caracteriza conforme NR 15
SUPERVISÃO ADMINISTRATIVO	"Acidentes: Queda de mesmo nível

Ergonômicos: Postura sentada por longos períodos; Reflexos em telas e monitores

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	"APR Digital; Treinamento de Ergonomia; Treinamento Normativo.
"	-	-	Não caracteriza conforme NR 16	Não caracteriza conforme NR 15
PROJETOS ADMINISTRATIVO	"Acidentes: Queda de mesmo nível

Ergonômicos: Postura sentada por longos períodos; Reflexos em telas e monitores

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	"APR Digital; Treinamento de Ergonomia; Treinamento Normativo.
"	-	-	Não caracteriza conforme NR 16	Não caracteriza conforme NR 15
"ADMINISTRATIVO
"	"Acidentes: Queda de mesmo nível

Ergonômicos: Postura sentada por longos períodos; Reflexos em telas e monitores

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	"APR Digital; Treinamento de Ergonomia; Treinamento Normativo.
"	-	-	Não caracteriza conforme NR 16	Não caracteriza conforme NR 15
"MONITOR ESCRITÓRIO DE SERVIÇOS
"	"Acidentes: Queda de mesmo nível

Ergonômicos: Postura sentada por longos períodos; Reflexos em telas e monitores

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	"APR Digital; Treinamento de Ergonomia; Treinamento Normativo.
"	-	-	Não caracteriza conforme NR 16	Não caracteriza conforme NR 15
SEGURANÇA DO TRABALHO OBRAS	"Acidentes: Trabalho em altura acima de 2 metros; Trabalho em espaço confinado; Ataque de animais; Contato com animais peçonhentos; Batida contra; Impacto de objetos; Queda com diferença de nível até 2 metros; Queda de mesmo nível; Cortes e perfurações

Físicos: Radiação não ionizante; Ruído

Ergonômicos: Elevação frequente de membros superiores; Flexões frequentes da coluna vertebral; Levantamento e transporte manual de cargas; Postura de pé por longos períodos; Trabalho em posturas incômodas por longos períodos; Deslocamento frequente a pé durante a jornada

Psicossociais: Trabalho em turno noturno; Carga de trabalho; Controle e autonomia; Suporte e liderança; Relações interpessoais; Reconhecimento e valorização; Condições organizacionais; Saúde mental e bem-estar"	APR Digital; IT-SST-02 – Identificação de Cordoalha Energizada; IT-SST-03 – Relato de Perigo; IT-SST-07 – Trabalhos em Altura; IT-SST-08 – Trabalhos em Proximidades com a Rede Elétrica; IT-SST-12 – Realização de Trabalhos em Espaço Confinado; IT-SST-13 – Plano de Resgate para Trabalho em Espaço Confinado; IT-SST-15 – Trabalhos com Máquinas e Equipamentos; IT-SST-38 – Realização de Trabalhos em Travessia.	Capacete tipo alpinista; Capacete de segurança; Cinto tipo paraquedista com talabarte de posicionamento; Talabarte em Y; Óculos de segurança com proteção UV; Luva mista de vaqueta cano curto; Botina com biqueira de composite; Luva em PU; Respirador semifacial com filtro; Perneira; Protetor solar com repelente; Protetor auricular tipo concha.	Correia de segurança para escada; Linha de vida móvel; Nivelador de escada; Garra meio de vão; Detector de gás; Exaustor/insuflador de ar para espaço confinado; Grade de sinalização; Sinalizador luminoso; Sistema de resgate com tripé.	Não caracteriza conforme NR 16	Não caracteriza conforme NR 15
